1591435310.776148796 -0.06741 -0.11493 -0.00152 0.01464 -0.00108 0.68779 0.72577
1591435310.842778683 -0.06856 -0.11260 -0.00071 0.01669 0.00368 0.68808 0.72543
1591435310.909408808 -0.07057 -0.10732 -0.00037 0.02166 0.00659 0.68930 0.72412
1591435310.976028681 -0.09556 -0.06741 -0.00296 0.02631 0.00753 0.68747 0.72570
1591435311.042648792 -0.14755 0.08614 -0.01256 0.02599 0.00817 0.69171 0.72166
1591435311.109288692 -0.13066 0.23799 -0.01337 0.02588 0.00945 0.69704 0.71650
1591435311.175908804 -0.10934 0.25882 -0.00841 0.02618 0.00989 0.69906 0.71451
1591435311.242538691 -0.11071 0.27459 -0.00866 0.02641 0.01002 0.69833 0.71522
1591435311.309158802 -0.11234 0.28091 -0.00909 0.02679 0.00991 0.69849 0.71505
1591435311.375788689 -0.11299 0.28880 -0.00899 0.02722 0.00968 0.69832 0.71520
1591435311.442408800 -0.11611 0.30511 -0.00943 0.02692 0.01032 0.69793 0.71559
1591435311.509028673 -0.11745 0.31562 -0.01030 0.02666 0.01110 0.69804 0.71548
1591435311.575668812 -0.11791 0.32194 -0.01091 0.02625 0.01165 0.69809 0.71544
1591435311.642288685 -0.11798 0.32861 -0.01121 0.02612 0.01167 0.69810 0.71543
1591435311.708908796 -0.11856 0.33766 -0.01166 0.02611 0.01220 0.69778 0.71573
1591435311.775538683 -0.11941 0.34846 -0.01218 0.02615 0.01285 0.69785 0.71565
1591435311.842168808 -0.10716 0.38729 -0.00941 0.02595 0.01325 0.69829 0.71522
1591435311.908788681 -0.10176 0.41267 -0.00848 0.02557 0.01352 0.69799 0.71552
1591435311.975408792 -0.10337 0.42798 -0.00885 0.02555 0.01370 0.69778 0.71573
1591435312.042048693 -0.11662 0.40924 -0.00255 0.02430 0.01455 0.69708 0.71643
1591435312.108668804 -0.08654 0.42492 -0.00778 0.02565 0.01328 0.69791 0.71560
1591435312.175288677 -0.08336 0.43309 -0.00716 0.02614 0.01224 0.69847 0.71506
1591435312.241918802 -0.08317 0.44530 -0.00636 0.02659 0.01108 0.69846 0.71507
1591435312.308548689 -0.08280 0.45422 -0.00604 0.02701 0.01015 0.69849 0.71504
1591435312.375168800 -0.08250 0.46619 -0.00516 0.02767 0.00855 0.69869 0.71484
1591435312.441798687 -0.08209 0.47094 -0.00476 0.02776 0.00746 0.69894 0.71460
1591435312.508428812 -0.08141 0.47493 -0.00454 0.02772 0.00698 0.69901 0.71454
1591435312.575048685 -0.08109 0.47903 -0.00453 0.02845 0.00650 0.69906 0.71447
1591435312.641668797 -0.08083 0.48963 -0.00400 0.02864 0.00619 0.69878 0.71474
1591435312.708298683 -0.08044 0.49175 -0.00338 0.02834 0.00571 0.69915 0.71439
1591435312.774928808 -0.07989 0.50439 -0.00243 0.02925 0.00487 0.69949 0.71402
1591435312.841548681 -0.07922 0.50099 -0.00283 0.02932 0.00505 0.69878 0.71472
1591435312.908178806 -0.05180 0.39323 0.00424 0.02904 0.00434 0.70033 0.71322
1591435312.974808693 -0.07085 0.49762 0.00136 0.02915 0.00244 0.69974 0.71379
1591435313.041428804 -0.07093 0.50275 0.00181 0.02874 0.00198 0.69936 0.71419
1591435313.108048677 -0.07002 0.50649 0.00230 0.02865 0.00111 0.69919 0.71436
1591435313.174678802 -0.06997 0.51151 0.00250 0.02892 -0.00021 0.69919 0.71435
1591435313.241308689 -0.07016 0.51687 0.00298 0.02891 -0.00104 0.69928 0.71427
1591435313.307928801 -0.06965 0.52312 0.00361 0.02833 -0.00077 0.69920 0.71437
1591435313.374558687 -0.06916 0.53096 0.00456 0.02842 -0.00146 0.69917 0.71439
1591435313.441188812 -0.06936 0.53610 0.00430 0.02853 -0.00209 0.69905 0.71450
1591435313.507808685 -0.06903 0.54177 0.00477 0.02791 -0.00218 0.69912 0.71446
1591435313.574428797 -0.06775 0.54655 0.00500 0.02785 -0.00232 0.69911 0.71447
1591435313.641068697 -0.06821 0.55561 0.00489 0.02818 -0.00227 0.69865 0.71491
1591435313.707688808 -0.06848 0.56179 0.00512 0.02811 -0.00239 0.69873 0.71483
1591435313.774308681 -0.06814 0.56794 0.00575 0.02776 -0.00229 0.69858 0.71499
1591435313.840938807 -0.06791 0.57368 0.00633 0.02770 -0.00203 0.69812 0.71544
1591435313.907568693 -0.06787 0.57986 0.00649 0.02752 -0.00182 0.69839 0.71518
1591435313.974188805 -0.06673 0.58544 0.00661 0.02799 -0.00218 0.69840 0.71516
1591435314.040808678 -0.06577 0.59077 0.00688 0.02775 -0.00177 0.69817 0.71539
1591435314.107448816 -0.06540 0.58731 0.00728 0.02771 -0.00107 0.69852 0.71505
1591435314.174068689 -0.06287 0.59208 0.00688 0.02806 -0.00025 0.69819 0.71536
1591435314.240688801 -0.06314 0.59978 0.00709 0.02796 0.00062 0.69772 0.71582
1591435314.307318687 -0.06261 0.60680 0.00699 0.02822 0.00118 0.69802 0.71552
1591435314.373948812 -0.06175 0.61137 0.00707 0.02894 0.00078 0.69809 0.71543
1591435314.440568686 -0.06147 0.61677 0.00706 0.02911 0.00054 0.69819 0.71532
1591435314.507188797 -0.06136 0.62249 0.00751 0.02892 0.00092 0.69837 0.71515
1591435314.573828697 -0.06069 0.62782 0.00775 0.02984 0.00026 0.69840 0.71508
1591435314.640448809 -0.06005 0.63264 0.00773 0.03007 -0.00000 0.69872 0.71476
1591435314.707068682 -0.05974 0.63762 0.00795 0.02977 0.00028 0.69921 0.71430
